BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,SalePrice
1Fam,1Story,4,5,1954,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,132.0,111000
1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,,0.0,252678
1Fam,2Story,5,6,1910,1981,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,110000
1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,120.0,141000
1Fam,1.5Fin,5,7,1918,1950,Gable,CompShg,Stucco,Stucco,,0.0,116000
1Fam,2Story,6,6,1964,1964,Gable,CompShg,HdBoard,HdBoard,BrkFace,360.0,167900
1Fam,2Story,7,5,1993,1994,Gable,CompShg,MetalSd,MetalSd,BrkFace,246.0,236000
1Fam,2Story,6,6,1925,1950,Gambrel,CompShg,Wd Sdng,Wd Sdng,,0.0,103600
1Fam,SLvl,7,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,170.0,163900
1Fam,1.5Unf,5,6,1922,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,113000
1Fam,1Story,7,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,,0.0,250580
1Fam,1Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,136.0,220000
1Fam,1Story,5,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,,0.0,126000
1Fam,1.5Fin,6,7,1940,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,139500
1Fam,2Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,280000
1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,16.0,159895
1Fam,1Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,,0.0,208300
1Fam,1Story,6,5,1950,1950,Gable,CompShg,BrkFace,BrkFace,,0.0,124000
TwnhsE,2Story,6,5,1974,1974,Gable,CompShg,Plywood,Brk Cmn,,0.0,147000
1Fam,1.5Fin,6,8,1910,2003,Hip,CompShg,VinylSd,VinylSd,,0.0,117000
1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30.0,157500
1Fam,1.5Fin,5,3,1910,1996,Gambrel,CompShg,Wd Sdng,VinylSd,,0.0,81000
1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,208500
1Fam,SFoyer,6,6,1978,1978,Gable,CompShg,VinylSd,VinylSd,,0.0,156000
1Fam,2Story,5,5,1967,1967,Flat,Tar&Grv,Plywood,Plywood,,0.0,185000
1Fam,SLvl,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,167500
1Fam,1Story,5,6,1963,1963,Hip,CompShg,HdBoard,HdBoard,,0.0,132500
1Fam,SLvl,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,335.0,169900
1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,196500
2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,93000
1Fam,SLvl,6,7,1959,2006,Gable,CompShg,Plywood,Plywood,BrkFace,84.0,177000
1Fam,1Story,5,5,1960,1960,Gable,CompShg,MetalSd,HdBoard,BrkFace,324.0,167500
1Fam,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,174000
TwnhsE,2Story,7,7,1987,1987,Gable,CompShg,HdBoard,HdBoard,,0.0,239000
1Fam,1Story,6,8,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,110000
2fmCon,1.5Fin,6,8,1935,1982,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,84500
1Fam,1Story,7,7,1960,2007,Flat,Tar&Grv,Wd Sdng,Wd Sdng,,0.0,242000
1Fam,SLvl,6,5,1988,1989,Gable,CompShg,HdBoard,HdBoard,BrkFace,219.0,175000
1Fam,2Story,6,5,1994,1995,Gable,CompShg,HdBoard,HdBoard,,0.0,174000
2fmCon,1Story,4,5,1970,1970,Gable,CompShg,HdBoard,HdBoard,BrkFace,160.0,129000
1Fam,1Story,4,5,1950,1950,Gable,CompShg,BrkFace,Wd Sdng,,0.0,109900
Duplex,1Story,4,5,1949,1950,Gable,CompShg,BrkFace,Stone,,0.0,90000
1Fam,2Story,7,6,1920,1950,Gable,CompShg,Stucco,Stucco,,0.0,200100
1Fam,2Story,8,5,2007,2007,Gable,CompShg,CemntBd,CmentBd,,0.0,303477
1Fam,1Story,5,4,1959,1959,Gable,CompShg,HdBoard,Plywood,BrkFace,132.0,149900
1Fam,1.5Fin,5,6,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,139000
1Fam,2Story,7,5,1993,1993,Gable,CompShg,VinylSd,VinylSd,,0.0,228000
TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,Stone,481.0,235000
1Fam,1.5Fin,7,4,1953,1953,Gable,CompShg,BrkFace,AsbShng,,0.0,225000
1Fam,2Story,9,5,2008,2009,Hip,CompShg,VinylSd,VinylSd,Stone,424.0,582933
1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,244000
2fmCon,1Story,5,5,1953,1953,Hip,CompShg,MetalSd,MetalSd,BrkFace,56.0,157000
1Fam,1Story,4,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,,0.0,110000
TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,,0.0,324000
1Fam,2Story,7,5,1994,1994,Gable,CompShg,VinylSd,VinylSd,BrkFace,448.0,271000
1Fam,1Story,6,6,1964,1964,Hip,CompShg,HdBoard,HdBoard,BrkFace,425.0,160000
1Fam,1Story,5,7,1958,1985,Gable,CompShg,MetalSd,MetalSd,,0.0,120000
1Fam,1.5Fin,3,6,1910,1950,Gable,CompShg,VinylSd,VinylSd,,0.0,37900
1Fam,2Story,7,6,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,223.0,237000
1Fam,2Story,6,5,1976,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,190000
1Fam,1Story,4,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,34900
1Fam,1Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,66.0,315000
1Fam,1Story,7,7,1984,1998,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,202500
1Fam,1Story,6,7,1977,2000,Gable,CompShg,CemntBd,CmentBd,Stone,126.0,215000
1Fam,1Story,6,7,1926,2004,Gable,CompShg,MetalSd,MetalSd,,0.0,152000
1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,207500
1Fam,SLvl,6,6,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,333.0,158000
Twnhs,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,50.0,130000
1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,,0.0,244000
1Fam,1Story,3,6,1931,2006,Gable,CompShg,MetalSd,MetalSd,,0.0,79000
1Fam,1Story,4,4,1922,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,55000
1Fam,1Story,8,6,1981,1981,Hip,WdShake,Plywood,Plywood,BrkFace,653.0,228000
1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,300.0,325624
1Fam,2Story,7,5,1996,1996,Gable,CompShg,VinylSd,VinylSd,,0.0,191000
1Fam,1Story,6,5,1961,1961,Gable,CompShg,WdShing,Wd Shng,BrkCmn,491.0,163000
1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0.0,211000
TwnhsE,1Story,8,5,2008,2008,Hip,CompShg,CemntBd,CmentBd,Stone,186.0,392500
1Fam,2Story,7,9,1920,1988,Hip,CompShg,VinylSd,VinylSd,,0.0,143000
1Fam,1Story,5,7,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,88000
1Fam,1.5Fin,6,7,1941,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,133000
1Fam,1Story,5,7,1954,2003,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,104.0,144900
Twnhs,2Story,6,5,1971,1971,Gable,CompShg,CemntBd,CmentBd,BrkFace,236.0,91500
1Fam,SFoyer,5,6,1982,1982,Hip,CompShg,HdBoard,HdBoard,,0.0,137000
1Fam,1.5Fin,4,7,1910,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,96500
1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,,0.0,149000
1Fam,SLvl,6,7,1966,1966,Gable,CompShg,HdBoard,HdBoard,BrkFace,183.0,174900
1Fam,2Story,6,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,,216500
1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,202.0,222500
1Fam,2Story,6,7,1977,1977,Gable,CompShg,HdBoard,HdBoard,BrkFace,153.0,161750
1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,220000
1Fam,1Story,5,6,1959,2002,Gable,CompShg,MetalSd,MetalSd,,0.0,150750
1Fam,1.5Fin,4,6,1936,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,128000
1Fam,2Story,6,6,1975,1975,Gable,CompShg,VinylSd,VinylSd,,0.0,179900
1Fam,2Story,8,5,1990,1990,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,336.0,302000
1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,,0.0,475000
1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,170000
1Fam,2Story,7,5,1989,1990,Hip,CompShg,MetalSd,MetalSd,BrkFace,293.0,335000
1Fam,1.5Fin,5,7,1919,2005,Gable,CompShg,CemntBd,CmentBd,,0.0,115000
1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,109000
1Fam,1.5Fin,8,8,1983,2009,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,316600
1Fam,1Story,8,5,2002,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,236.0,270000
1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,142000
1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,84.0,282922
Twnhs,1Story,6,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,116.0,164000
1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,248.0,250000
1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,,0.0,122900
1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,154000
TwnhsE,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,,0.0,155000
1Fam,1Story,2,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,60000
1Fam,1Story,4,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,80000
1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,BrkFace,60.0,100000
Duplex,SLvl,5,6,1962,1962,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,120.0,132500
1Fam,1Story,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,159000
Duplex,2Story,5,5,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,360.0,124500
TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,131500
1Fam,1Story,7,5,1990,1990,Hip,CompShg,HdBoard,HdBoard,BrkFace,54.0,180000
1Fam,1.5Unf,6,3,1928,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,76000
1Fam,1Story,5,5,1968,1968,Gable,CompShg,Plywood,Plywood,,0.0,108000
1Fam,1Story,5,6,1973,2000,Gable,CompShg,HdBoard,HdBoard,,0.0,157000
1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,,344.0,225000
Duplex,1Story,5,5,1976,1976,Gable,CompShg,Plywood,Plywood,,0.0,188000
1Fam,1Story,5,5,1925,2004,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,73000
Twnhs,SLvl,4,5,1973,1973,Gable,CompShg,CemntBd,CmentBd,,0.0,91000
TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,173733
Twnhs,2Story,6,5,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,297.0,94500
1Fam,2Story,7,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,210000
1Fam,1Story,5,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,129000
1Fam,SLvl,6,6,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,233.0,148000
1Fam,2Story,6,5,1988,1989,Gable,CompShg,Plywood,Plywood,BrkFace,268.0,211000
1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,159000
1Fam,SLvl,6,5,1967,1976,Gable,CompShg,HdBoard,HdBoard,BrkFace,359.0,197900
Twnhs,2Story,6,7,1972,1972,Gable,CompShg,HdBoard,HdBoard,BrkFace,281.0,118000
1Fam,1Story,4,4,1950,1950,Gable,CompShg,Wd Sdng,AsbShng,,0.0,82000
TwnhsE,1Story,8,5,1986,1986,Gable,CompShg,HdBoard,HdBoard,,0.0,170000
1Fam,1Story,5,8,1978,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,90.0,136500
1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,Other,BrkFace,238.0,319000
1Fam,2.5Unf,5,7,1920,1996,Gable,CompShg,MetalSd,MetalSd,,0.0,101000
1Fam,1Story,5,8,1965,2008,Gable,CompShg,VinylSd,VinylSd,BrkFace,300.0,147000
1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,290000
1Fam,1Story,5,5,1984,1985,Gable,CompShg,HdBoard,Plywood,,0.0,119500
1Fam,1Story,5,7,1953,1996,Gable,CompShg,WdShing,Wd Shng,,0.0,116000
Duplex,1Story,3,4,1950,1950,Gable,CompShg,BrkFace,BrkFace,,0.0,92900
1Fam,1.5Fin,4,6,1920,1950,Gable,CompShg,CBlock,CBlock,,0.0,105000
1Fam,1Story,9,5,2006,2007,Gable,CompShg,CemntBd,CmentBd,BrkFace,315.0,415298
1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,215000
1Fam,1.5Fin,5,6,1936,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,141500
1Fam,1Story,5,6,1954,1954,Gable,CompShg,HdBoard,HdBoard,BrkFace,200.0,132000
1Fam,1Story,4,4,1920,1950,Hip,CompShg,MetalSd,MetalSd,,0.0,108500
1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,145000
1Fam,2.5Unf,7,7,1914,1970,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,163000
1Fam,1.5Fin,6,8,1950,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,140000
1Fam,1Story,6,3,1968,1968,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,216.0,110000
1Fam,1.5Fin,6,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,132500
1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,270.0,295493
TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,,,199900
1Fam,SFoyer,5,7,1970,1970,Gable,CompShg,VinylSd,VinylSd,,0.0,129500
1Fam,1Story,6,7,1954,2006,Hip,CompShg,HdBoard,HdBoard,BrkFace,72.0,224000
1Fam,1Story,8,6,2007,2007,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,392000
Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,,0.0,179000
1Fam,2Story,7,9,1972,2004,Gable,CompShg,HdBoard,HdBoard,BrkFace,138.0,184000
1Fam,1Story,6,8,1958,2002,Hip,CompShg,MetalSd,MetalSd,,0.0,176500
1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,,0.0,98000
1Fam,2Story,5,6,1948,1950,Gable,CompShg,Plywood,Plywood,,0.0,169000
1Fam,1Story,4,5,1941,1950,Gable,CompShg,WdShing,Wd Shng,,0.0,100000
Twnhs,2Story,6,6,1978,1978,Gable,CompShg,Plywood,Brk Cmn,,0.0,148500
1Fam,1Story,6,6,1959,1959,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,127500
1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0.0,120500
Duplex,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,BrkFace,95.0,110000
1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0.0,142000
1Fam,1Story,1,1,1922,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,61000
1Fam,1Story,7,5,2009,2009,Gable,CompShg,MetalSd,MetalSd,Stone,432.0,222000
1Fam,2Story,3,6,1915,1950,Gambrel,CompShg,VinylSd,VinylSd,,0.0,107400
1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,158.0,193000
1Fam,2Story,5,7,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,44.0,197500
Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,285.0,113000
1Fam,1Story,10,5,2007,2008,Hip,CompShg,CemntBd,CmentBd,BrkFace,816.0,385000
Twnhs,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Brk Cmn,,0.0,148500
1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,,0.0,147500
1Fam,2Story,6,5,2002,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,183200
1Fam,2Story,6,8,1945,2002,Gambrel,CompShg,Wd Sdng,Wd Sdng,,0.0,259500
1Fam,2Story,6,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,,0.0,239000
1Fam,1.5Fin,6,6,1937,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,141000
2fmCon,SLvl,6,5,1958,1958,Hip,CompShg,HdBoard,HdBoard,BrkFace,105.0,140000
Duplex,1.5Fin,5,7,1900,2003,Gable,CompShg,MetalSd,MetalSd,,0.0,145900
1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,99.0,221000
1Fam,2Story,4,7,1910,2000,Gable,CompShg,MetalSd,HdBoard,,0.0,112000
1Fam,1Story,4,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,123600
1Fam,1.5Fin,6,8,1908,1997,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,240000
1Fam,1Story,5,7,1954,2000,Gable,CompShg,MetalSd,MetalSd,,0.0,117000
1Fam,2Story,8,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,245.0,281213
1Fam,2Story,8,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,178.0,275500
1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89.0,130000
1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,345000
1Fam,1Story,5,5,1972,1972,Hip,CompShg,MetalSd,MetalSd,,0.0,123000
TwnhsE,1Story,6,5,1992,1992,Gable,CompShg,Plywood,ImStucc,,0.0,179200
TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,147.0,141000
1Fam,2.5Unf,7,6,1916,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,144000
TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,,0.0,127000
TwnhsE,1Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,194700
TwnhsE,1Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,215000
1Fam,2Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,456.0,320000
1Fam,2Story,6,5,1963,1963,Hip,CompShg,HdBoard,HdBoard,BrkFace,415.0,140000
1Fam,1.5Fin,5,8,1925,1994,Gambrel,CompShg,VinylSd,VinylSd,,0.0,125000
1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,180.0,220000
2fmCon,1.5Fin,5,6,1965,1965,Gable,CompShg,Plywood,Plywood,,0.0,228950
1Fam,SLvl,6,6,1955,1996,Hip,CompShg,AsbShng,AsbShng,,0.0,165500
TwnhsE,SFoyer,4,4,1970,1970,Gable,CompShg,CemntBd,CmentBd,,0.0,80000
1Fam,1Story,10,5,2009,2009,Hip,CompShg,CemntBd,CmentBd,BrkFace,305.0,402861
1Fam,2Story,8,6,2001,2001,Gable,CompShg,VinylSd,VinylSd,,0.0,227000
1Fam,1Story,7,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,,0.0,216837
1Fam,2Story,5,4,1892,1965,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,107500
1Fam,1Story,5,5,1924,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,100000
1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,194000
1Fam,1Story,6,6,1957,1957,Gable,CompShg,VinylSd,VinylSd,,0.0,150000
1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,230000
1Fam,1Story,6,6,1992,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,106.0,173000
1Fam,1Story,8,5,2008,2009,Gable,CompShg,CemntBd,CmentBd,Stone,194.0,287090
1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,0.0,202900
1Fam,1.5Fin,6,7,1920,1998,Gable,CompShg,MetalSd,MetalSd,,0.0,79900
1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,304.0,440000
1Fam,2Story,4,4,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,107000
1Fam,1Story,5,7,1977,1989,Gable,CompShg,HdBoard,Plywood,,0.0,143500
TwnhsE,2Story,7,5,2006,2007,Gable,CompShg,MetalSd,MetalSd,,0.0,171900
Duplex,1Story,5,5,1965,1965,Hip,CompShg,AsphShn,AsphShn,,0.0,100000
1Fam,2Story,6,6,1968,1968,Gable,CompShg,HdBoard,HdBoard,BrkFace,420.0,179900
2fmCon,2.5Unf,6,6,1910,1998,Hip,CompShg,MetalSd,MetalSd,,0.0,133900
1Fam,1Story,7,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,Stone,108.0,240000
1Fam,1Story,5,7,1921,1950,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,89000
1Fam,1Story,5,6,1961,1961,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,136500
1Fam,1Story,6,7,1960,1975,Flat,CompShg,BrkFace,Plywood,,0.0,235000
1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,138000
1Fam,1Story,5,6,1950,1996,Hip,CompShg,MetalSd,MetalSd,,0.0,142125
1Fam,2Story,6,8,1966,2007,Gable,CompShg,HdBoard,HdBoard,BrkFace,157.0,187500
1Fam,1Story,6,6,1960,1987,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,85.0,181900
2fmCon,2Story,5,9,1900,1996,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,140000
1Fam,SLvl,6,8,1958,1958,Hip,CompShg,VinylSd,VinylSd,BrkFace,63.0,145000
1Fam,1Story,5,6,1971,1971,Gable,CompShg,Plywood,Plywood,,0.0,175000
TwnhsE,1Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,18.0,234000
1Fam,1Story,4,7,1916,1990,Gable,CompShg,MetalSd,MetalSd,,0.0,109900
1Fam,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,,0.0,129900
1Fam,1Story,5,7,1954,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,139400
1Fam,2Story,8,5,1994,1994,Hip,CompShg,VinylSd,VinylSd,BrkFace,391.0,290000
TwnhsE,1Story,7,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,11.0,160200
1Fam,1Story,5,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,116.0,139000
1Fam,2Story,5,7,1910,2002,Gable,CompShg,Wd Sdng,Wd Shng,,0.0,132000
1Fam,1Story,6,5,1957,1957,Gable,CompShg,HdBoard,HdBoard,BrkFace,387.0,166000
1Fam,2Story,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,163990
1Fam,1Story,5,7,1959,2006,Gable,CompShg,HdBoard,HdBoard,BrkFace,54.0,145500
2fmCon,2.5Fin,6,7,1914,1995,Hip,CompShg,VinylSd,VinylSd,,0.0,200000
1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,162000
1Fam,1Story,5,6,1940,1955,Gable,CompShg,VinylSd,VinylSd,,0.0,120500
Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,88000
1Fam,1Story,4,5,1926,1953,Gable,CompShg,MetalSd,MetalSd,BrkFace,108.0,79900
1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,225000
1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,274.0,248900
1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,239686
1Fam,1Story,5,5,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,BrkCmn,621.0,190000
1Fam,2Story,8,9,1882,1986,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,168000
1Fam,1Story,4,5,1963,1963,Gable,CompShg,HdBoard,Plywood,,0.0,132250
1Fam,1Story,5,5,1958,1958,Gable,CompShg,Wd Sdng,Wd Sdng,,1.0,114500
1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,250000
Duplex,1Story,5,6,1976,1976,Gable,CompShg,VinylSd,VinylSd,BrkFace,164.0,136905
1Fam,1.5Fin,8,9,1935,1997,Gable,CompShg,Stucco,Stucco,BrkFace,632.0,381000
1Fam,1.5Fin,5,7,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,130000
1Fam,2Story,5,6,1921,1998,Gable,CompShg,MetalSd,Wd Sdng,,0.0,189000
TwnhsE,2Story,5,6,1970,1970,Gable,CompShg,HdBoard,HdBoard,,312.0,125000
TwnhsE,1Story,7,5,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72.0,172500
1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,53.0,232000
1Fam,1Story,5,5,1969,1969,Gable,CompShg,VinylSd,Plywood,,0.0,138800
Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,158.0,100000
TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,Stone,117.0,130000
